Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
F55-1766	Jackson	D49-2491	( Jackson , D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
F55-217	D49-772	Improved_Pelican	( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Improved_Pelican )	-	-
F55-255	D49-772	Improved_Pelican	( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Improved_Pelican )	-	-
F55-310	D49-772	Improved_Pelican	( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Improved_Pelican )	-	-
F55-375	D49-772	Improved_Pelican	( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Improved_Pelican )	-	-
F55-377	D49-772	Improved_Pelican	( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Improved_Pelican )	-	-
F55-822	Jackson	D49-2491	( Jackson , D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
F55-822A	F55-822	-	( F55-822 ( Jackson , D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , - )	-	Selection from F55-822
F55-861	Jackson	D49-2491	( Jackson , D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
F55-941	D49-772	D50-1633	( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D50-1633 )	-	-
F55-978	D49-772	D50-1633	( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D50-1633 )	-	-
F56-3460	Jackson	D49-2491	( Jackson , D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
F56-3492	Jackson	D49-2491	( Jackson , D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
F57-1471	D49-2491	Majos	( D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) , Majos ( Tokyo ( PI_8424 , - ) , Yelredo ( Mammoth_Yellow , Laredo ) ) )	-	Parentage conflict, may be D49-772 x Majos
F57-467	Jackson	D49-2491	( Jackson , D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
F57-481	Jackson	D49-2491	( Jackson , D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
F57-6279	Jackson	D49-2491	( Jackson , D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
F57-734	D49-772	Improved_Pelican	( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Improved_Pelican )	-	-
F57-735	D49-772	Improved_Pelican	( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Improved_Pelican )	-	-
F57-784	D49-772	Improved_Pelican	( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Improved_Pelican )	-	-
F57-868	D49-2491	Biloxi	( D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) , Biloxi ( PI_23211 , - ) )	-	Cultivar derived from F3 generation seed line
F57-873	D49-2491	Biloxi	( D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) , Biloxi ( PI_23211 , - ) )	-	Cultivar derived from F3 generation seed line
F58-3726	D49-772	Improved_Pelican	( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Improved_Pelican )	-	-
F58-6217	D49-772	Improved_Pelican	( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Improved_Pelican )	-	-
F58-6421	D49-772	Improved_Pelican	( D49-772 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Improved_Pelican )	-	-
F59-1362	Jackson	D49-2491	( Jackson , D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
F59-1505	Jackson	D49-2491	( Jackson , D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
